seller_id,seller_zip_code_prefix,seller_city,seller_state
766061cde2250181e2701b75a0954af0,42730,Porto Alegre,RS
19e8d57e6d19b94bbb905f26ede07b97,84365,Curitiba,SC
9ec9693f1a44ffd43a83816305a5321a,10892,Florianópolis,PR
8a00773820bca499354f56ffe389ca2b,90653,Salvador,BA
3ea776d14f95bd06431c45de9836fc84,58853,Recife,PE
96b0c604d4c9b8784e9dbaf59856e789,22622,Fortaleza,CE
78ccd24d74b5c99874ddb436203b6bd1,37195,Goiânia,GO
a5553287a2666942b87c70507471d217,59862,Brasília,DF
cdcc6c0b9490aead22c9f9cd918f3ce6,38411,Vitória,ES
76a35fc129d87a99dc31c385ee7bc5b0,19771,Belém,PA
aac0164cad932149a1f2c1f461dfb3a7,69938,Manaus,AM
c09a0ec3d3ca3a758e2df5843420ee4f,70500,João Pessoa,PB
4223d9df4bdaafb13eef378f467c6582,20698,Natal,RN
0c43e20e2750a1691b1cbc91641fd99f,35310,Cuiabá,MT
2bb7ede595b2c6deea2c6a5706126dea,31948,Campo Grande,MS
8cae520b7503051d8be9576e017090b5,69347,Maceió,AL
a029a1b9ea0eb7236b26e101ab9c2f69,75725,Aracaju,SE
34d8724e56983b3e7e299ae14c0c5f5d,75428,São Paulo,SP
e5cef488e35794e24d1103be835515f2,94487,Rio de Janeiro,RJ
7b297a196bfc77da38317afe2dfaac11,79177,Belo Horizonte,MG
9572a53678054d4e6606ef656f408295,38860,Porto Alegre,RS
39f9c9280478b1d8b60abbdeea97b722,19696,Curitiba,SC
e0597254ecc4f9ba8b63f6b9d8e6f962,65317,Florianópolis,PR
bb8f8b6461516b3af71f2099ad51ade8,92440,Salvador,BA
6ba49fe332b5f6a4a012781f5f539c7b,97763,Recife,PE
b10247aae5854dc7372a8dba150b44d0,30719,Fortaleza,CE
57793e4be61fec661eec50704fd2051e,31280,Goiânia,GO
8b789a79200adea2d4c02ee07f0e67c8,13367,Brasília,DF
2ea85b7f82ae33c485c81f05f1db175c,22713,Vitória,ES
75aea0dbf305158e06cc7b835fd9e9dc,59936,Belém,PA
e707ce64986f36e4ade8026f05b3d792,59211,Manaus,AM
a330d0394250131a0731b65ab17b7465,43382,João Pessoa,PB
1a3f0933a2736dac77b4313e33aa80b7,37895,Natal,RN
1e03fcb1448ab1df00c668d58aeebf53,84680,Cuiabá,MT
62ad46965f78bd4ad5d0e1902d63764f,51402,Campo Grande,MS
0a9c959c127d9efae60536801bf12634,82741,Maceió,AL
afae120dc6a2e381066d25ce4a3e6152,96688,Aracaju,SE
aa688f566185092184d57739d05aed99,38542,São Paulo,SP
ebdfcf2bfe910a272a4635cb38e36ee6,28246,Rio de Janeiro,RJ
3cede7aecfc49a56b4be3ed2fad82102,95759,Belo Horizonte,MG
d8511de4e2ee7a4b3e66e74e7d25d018,67134,Porto Alegre,RS
f9197c44c06a93e60eb1d6d6b10db241,36182,Curitiba,SC
ef77ab8808c2140adb9d6ff91ef564da,65966,Florianópolis,PR
9f20d3cc3748a79c71ced57c432696a8,56354,Salvador,BA
2ea92026bfd9280a05139b53eab2e4ca,91496,Recife,PE
dd1b93e00dab4ea70c30ad41d9aeb1a4,33036,Fortaleza,CE
4e8b7997209614fffc41ae6afb023c95,99223,Goiânia,GO
c0a2f39695b3869d878abc415731b5c2,94242,Brasília,DF
27cb4e29ecee90b4e4123f36a2ee2f70,26262,Vitória,ES
aa2860e731223e51efbb830dc9cfb4c1,24814,Belém,PA
71e2493af760dc3d56ae951b1a861c52,57983,Manaus,AM
dbaa9aca94d54124fe8c6179f231aa59,14041,João Pessoa,PB
a337d77d013722ca7a7b742879c6b297,36891,Natal,RN
24488fa350adce9777a5435374de2db0,49158,Cuiabá,MT
473fc1b2ee31a34d45232d4a139ef5d0,97242,Campo Grande,MS
f72803f05a9596c6da82e95147644b4b,99312,Maceió,AL
48403693f501c7d9cfe7ceadc17af898,23638,Aracaju,SE
3beb889c3f6d29c70d41b08fc55fc8b2,90250,São Paulo,SP
c42f3f32fa65b822aa1b5bfac9176b4b,18183,Rio de Janeiro,RJ
bec2ecaf97bf084c5a1ebe43ea7f5873,77373,Belo Horizonte,MG
695b806354c0c051a387c65061f51b7c,86106,Porto Alegre,RS
6bd266b553fe7a7c059a3bfb40befa66,90170,Curitiba,SC
6957169ab08d2894c9df0b4dcd22a6ff,30107,Florianópolis,PR
44b19ea0075ce357401acedef0e34e3f,90409,Salvador,BA
3440c9f6096de95f11a37e346ec451e1,20438,Recife,PE
b7c5703c67ea6207cfc2e693b210b12c,56696,Fortaleza,CE
281684f5dd553a48290aefa523ce3655,52258,Goiânia,GO
408588aff0874817a496bf783d08746f,38433,Brasília,DF
e8fca1a7b34e5ad1446f24a71dea1500,11990,Vitória,ES
eefbcbc8f52995a857be8c51bba0a6dc,79480,Belém,PA
8bdce686e4c25c901b18ca42496659ee,40202,Manaus,AM
e4af2d50181417560513c3b0341633ab,69548,João Pessoa,PB
07673671a39df4161d56f6cc2cc4c697,46919,Natal,RN
fc3394802a71b243a136ba0d90df3811,43628,Cuiabá,MT
9c6a55d92e34474153cdd576551cb9a6,89765,Campo Grande,MS
cc1b0f7422cc5d48a4fb1d3e72e97ab8,18501,Maceió,AL
8386fd1ba1e0c9a61d3b2b087e925b98,76294,Aracaju,SE
d1e0c81e231fa32d9050a39aa1033bf2,77210,São Paulo,SP
c8ad40be532dff5dd59d0d25b4fd823d,44198,Rio de Janeiro,RJ
f7b55debd74f97a909e7e81fca2f8daa,33621,Belo Horizonte,MG
0083ea6dc89cd54b028fd8c711a2a7d2,10477,Porto Alegre,RS
23e07ac39cef9babaf8fc5e58dee3613,94312,Curitiba,SC
64528a1d886ccedbc72878c532450abe,95294,Florianópolis,PR
1375ed7d99c2db3a09918a65ca406cca,31687,Salvador,BA
661886372572e01f912b6f03f9dbb364,12871,Recife,PE
66020b278989dd55854484345ed715d2,21048,Fortaleza,CE
006d8581524965b0156b9bc4ae6a54ac,16087,Goiânia,GO
e14adf3d2ca482cd0d8beea2dd13d863,84799,Brasília,DF
038026e401a8e8370cb83b5a0b56f987,90271,Vitória,ES
cbd1bf53b36811a61af7d38130d64acf,23795,Belém,PA
c6cb244bffb2fb5971d80c1df093dda1,77205,Manaus,AM
a487be159663efa01de565898b23f849,26133,João Pessoa,PB
66ca5f1e717cd4da8d67aee75028f12d,43048,Natal,RN
55133eb1ce494a89fa4789dfb09fbeac,63943,Cuiabá,MT
86b3e52daf8364ed5276b4394821a0f5,74792,Campo Grande,MS
3f66949ba714d2e7e93b050989eca3ac,88709,Maceió,AL
bc52642551e6b8d9192018afb5dd5432,14030,Aracaju,SE
179190fcb259127b6b7edc4b8a7b360b,27678,São Paulo,SP
6232a8343bb4ebfd21b3e3d50bbaf96e,35245,Rio de Janeiro,RJ
a08c510b20207100066f81dadf038262,37928,Belo Horizonte,MG
