file,column,dtype,dtype_family,expected_family_heuristic,sample_values,flagged,flag_reason
olist_customers_dataset.parquet,customer_id,str,str,str,06b8999e2fba1a1fbc88172c00ba8bc7|18955e83d337fd6b2def6b18a428ac77|4e7b3e00288586ebd08712fdd0374a03,False,
olist_customers_dataset.parquet,customer_unique_id,str,str,str,861eff4711a542e4b93843c6dd7febb0|290c77bc529b7ac935b93aa66c333dc3|060e732b5b29e8181a18229c7b0b2b5e,False,
olist_customers_dataset.parquet,customer_zip_code_prefix,str,str,str,14409|9790|1151,False,
olist_customers_dataset.parquet,customer_city,str,str,,franca|sao bernardo do campo|sao paulo,False,
olist_customers_dataset.parquet,customer_state,str,str,,SP|SP|SP,False,
olist_geolocation_dataset.parquet,geolocation_zip_code_prefix,str,str,str,1037|1046|1046,False,
olist_geolocation_dataset.parquet,geolocation_lat,float64,numeric,numeric,-23.54562128115268|-23.546081127035535|-23.54612896641469,False,
olist_geolocation_dataset.parquet,geolocation_lng,float64,numeric,numeric,-46.63929204800168|-46.64482029837157|-46.64295148361138,False,
olist_geolocation_dataset.parquet,geolocation_city,str,str,,sao paulo|sao paulo|sao paulo,False,
olist_geolocation_dataset.parquet,geolocation_state,str,str,,SP|SP|SP,False,
olist_order_items_dataset.parquet,order_id,str,str,str,00010242fe8c5a6d1ba2dd792cb16214|00018f77f2f0320c557190d7a144bdd3|000229ec398224ef6ca0657da4fc703e,False,
olist_order_items_dataset.parquet,order_item_id,str,str,str,1|1|1,False,
olist_order_items_dataset.parquet,product_id,str,str,str,4244733e06e7ecb4970a6e2683c13e61|e5f2d52b802189ee658865ca93d83a8f|c777355d18b72b67abbeef9df44fd0fd,False,
olist_order_items_dataset.parquet,seller_id,str,str,str,48436dade18ac8b2bce089ec2a041202|dd7ddc04e1b6c2c614352b383efe2d36|5b51032eddd242adc84c38acab88f23d,False,
olist_order_items_dataset.parquet,shipping_limit_date,datetime64[us],datetime,datetime,2017-09-19 09:45:35|2017-05-03 11:05:13|2018-01-18 14:48:30,False,
olist_order_items_dataset.parquet,price,float64,numeric,numeric,58.9|239.9|199.0,False,
olist_order_items_dataset.parquet,freight_value,float64,numeric,numeric,13.29|19.93|17.87,False,
olist_order_payments_dataset.parquet,order_id,str,str,str,b81ef226f3fe1789b1e8b2acac839d17|a9810da82917af2d9aefd1278f1dcfa0|25e8ea4e93396b6fa0d3dd708e76c1bd,False,
olist_order_payments_dataset.parquet,payment_sequential,int64,numeric,,1|1|1,False,
olist_order_payments_dataset.parquet,payment_type,str,str,,credit_card|credit_card|credit_card,False,
olist_order_payments_dataset.parquet,payment_installments,int64,numeric,numeric,8|1|1,False,
olist_order_payments_dataset.parquet,payment_value,float64,numeric,numeric,99.33|24.39|65.71,False,
